1, 1196, 50, 969, 296, 2571, 1252, 1210, 2318, 1228, 904, 1203, 233
2, 1361, 1217, 1221, 1228, 912, 1948, 1225, 7502, 3088, 905, 898, 1172
3, 1293, 2019, 912, 6016, 1203, 1228, 1193, 1945, 48516, 905, 2359, 1247
4, 50, 527, 318, 2318, 1221, 1204, 2692, 899, 926, 1147, 1203, 1228
5, 1203, 1199, 926, 1945, 318, 2467, 116797, 3462, 4011, 745, 48516, 7502
6, 318, 926, 2064, 608, 913, 2542, 527, 899, 2318, 904, 3030, 912
7, 1221, 4993, 858, 2959, 527, 608, 2858, 1945, 5952, 3462, 1217, 1952
8, 3462, 926, 1193, 1136, 31658, 912, 2019, 3730, 1212, 2692, 1299, 1252
9, 1203, 1172, 858, 954, 926, 905, 1136, 1276, 2064, 1254, 898, 2542
10, 1945, 1203, 903, 2762, 1219, 969, 1276, 4011, 926, 7153, 2973, 1233
11, 2324, 1203, 1247, 905, 318, 926, 969, 913, 1945, 4235, 2019, 1228
12, 994, 926, 1217, 3462, 2324, 7153, 534, 1211, 1203, 2329, 5816, 750
13, 858, 1254, 1148, 1221, 5995, 2318, 3462, 969, 1213, 1228, 898, 913
14, 858, 1221, 527, 1276, 1172, 318, 50, 969, 745, 4993, 608, 2542
15, 118890, 905, 89864, 659, 6243, 3508, 4846, 954, 6807, 98933, 53129, 2043
16, 858, 1196, 1060, 905, 926, 1221, 2959, 1203, 904, 745, 954, 1254
17, 3167, 750, 1197, 7502, 969, 2318, 63082, 1201, 54997, 3022, 926, 140174
18, 318, 969, 858, 926, 745, 58559, 1948, 922, 3462, 527, 1175, 913
19, 720, 56782, 926, 3468, 2318, 3435, 2804, 1172, 6807, 3462, 899, 3362
20, 1197, 969, 1212, 1203, 134853, 899, 68237, 246, 55269, 57669, 1211, 908
21, 905, 1212, 6016, 1213, 7502, 2019, 318, 86882, 745, 3088, 608, 904
22, 50, 1221, 1252, 923, 1203, 969, 1945, 2973, 608, 5995, 671, 905
23, 3362, 7502, 1148, 1264, 1060, 1939, 1276, 58559, 1214, 994, 48516, 8132
24, 1221, 318, 969, 858, 527, 593, 926, 2064, 905, 1228, 2324, 2329
25, 50, 1945, 1254, 318, 1193, 1089, 898, 2064, 899, 1207, 1252, 1361
26, 1252, 2762, 1217, 2739, 745, 946, 1213, 3462, 1221, 3038, 969, 1276
27, 858, 318, 1945, 2692, 2064, 969, 6016, 1221, 1198, 7361, 1252, 2289
28, 318, 7153, 50, 4993, 527, 3462, 1221, 912, 858, 1276, 88125, 1304
29, 318, 858, 7153, 527, 1945, 3462, 4993, 50, 56782, 3683, 1228, 912
30, 7153, 926, 1172, 1939, 2318, 1136, 1223, 265, 5971, 233, 308, 1264
31, 969, 1196, 1228, 608, 4226, 1136, 3683, 593, 1704, 2064, 7502, 903
32, 1203, 318, 2064, 1233, 905, 926, 7502, 1254, 745, 1276, 5971, 2019
33, 898, 1228, 111, 7502, 5995, 50, 2973, 7153, 1224, 899, 905, 6016
34, 908, 899, 1228, 903, 905, 1945, 926, 898, 1203, 904, 2973, 4235
35, 1203, 5952, 50, 4993, 1217, 593, 318, 1228, 260, 76093, 608, 994
36, 2064, 1254, 858, 899, 608, 1060, 4973, 1203, 3462, 905, 926, 4226
37, 969, 908, 926, 7502, 1197, 318, 1172, 1299, 1203, 922, 1221, 905
38, 954, 905, 2019, 2064, 98491, 899, 3022, 4235, 912, 86882, 1280, 475
39, 905, 6787, 1196, 3462, 2571, 904, 2804, 4993, 903, 6016, 926, 1224
40, 926, 6016, 1203, 858, 2064, 1212, 1148, 296, 1252, 745, 1228, 2318
41, 2318, 969, 1221, 1254, 1198, 1228, 858, 1136, 318, 3035, 905, 926
42, 1945, 2959, 2064, 899, 3730, 2542, 1203, 3462, 50, 3310, 1276, 913
43, 318, 2019, 1221, 905, 1704, 1207, 306, 904, 86882, 1272, 926, 899
44, 318, 1228, 1704, 3683, 2064, 904, 1945, 899, 58559, 4011, 1217, 5971
45, 527, 926, 3462, 2019, 1203, 318, 905, 1247, 1221, 1254, 2571, 5669
46, 1029, 1172, 1263, 1287, 1293, 1953, 2150, 2968, 3671, 17, 47, 50
47, 2064, 858, 3730, 923, 908, 318, 1221, 2019, 903, 76093, 1089, 899
48, 1945, 912, 2064, 905, 318, 1228, 260, 3088, 3462, 969, 1276, 7502
49, 318, 745, 1203, 6016, 2064, 527, 1217, 3114, 2329, 2571, 1299, 1304
50, 318, 2064, 858, 1217, 5971, 50, 1252, 2019, 88125, 898, 1221, 260
51, 318, 7153, 908, 1203, 3362, 3462, 7502, 1945, 926, 899, 5952, 950
52, 926, 913, 899, 908, 1945, 593, 318, 31658, 2300, 898, 2064, 2324
53, 1203, 3462, 1952, 175, 56782, 2959, 104913, 930, 858, 1212, 1254, 2920
54, 969, 2064, 6016, 1291, 858, 50, 3671, 1224, 1247, 3088, 1283, 1221
55, 2571, 969, 1217, 50, 1212, 1674, 1197, 905, 908, 1252, 1948, 2019
56, 1674, 3022, 2690, 1217, 858, 1948, 235, 5618, 1221, 2762, 2318, 81845
57, 1254, 1172, 969, 85414, 904, 1247, 1212, 2019, 3359, 1178, 905, 4973
58, 2064, 1254, 1172, 745, 69844, 2690, 1060, 44555, 858, 3310, 318, 6016
59, 1207, 260, 608, 1299, 750, 778, 926, 1254, 31658, 969, 2019, 3462
